submission_date,state,conf_cases,new_case,conf_death,new_death
05/10/2022,MA,1649678,3606,19220,22
08/29/2022,SD,,0,2984,0
04/09/2020,PR,434,51,15,8
01/03/2021,MA,371097,3481,12551,63
04/22/2021,SD,,134,1592,2
07/03/2022,FL,,6713,,48
12/20/2020,GA,509588,5618,9437,2
01/27/2020,FL,,0,,0
10/02/2022,AS,,0,,0
07/12/2022,IN,,0,22980,0
03/18/2020,AS,,0,,0
10/03/2022,TX,,5921,,26
02/07/2021,GA,772978,3589,13326,2
12/31/2021,ND,143055,451,,0
12/13/2021,ND,138287,671,,14
03/07/2022,OH,2062003,431,37018,0
03/26/2022,SD,,0,2880,0
10/26/2021,FL,,1972,,49
05/21/2022,SD,,0,2919,0
10/08/2022,AR,,295,,25
03/27/2021,SD,,248,1574,5
07/18/2021,IA,,157,,0
07/22/2021,PW,,0,,0
08/11/2021,NY,,2191,,11
05/06/2021,NY,,1543,,9
08/14/2020,WA,,898,,19
03/10/2022,KS,577585,0,,0
09/06/2020,PR,17437,1,313,5
10/31/2020,ND,45043,1127,,7
08/29/2022,FL,,6229,,61
10/08/2020,PA,166817,1351,,27
09/22/2020,OH,137888,685,4338,12
10/19/2021,FL,,2720,,76
08/29/2020,OH,114911,1216,3842,21
05/25/2020,SD,,23,50,0
09/22/2021,ND,113603,629,,0
08/24/2020,NY,,194,,3
10/23/2021,TN,999850,1336,12858,17
09/29/2021,AK,,968,,4
12/01/2021,GA,1286391,1654,25748,61
09/18/2021,SD,,148,1723,1
07/08/2022,KS,608804,0,,0
09/13/2021,AR,,646,,31
11/26/2020,AR,,2348,,11
04/07/2022,UT,928621,699,4504,16
03/25/2020,WA,,276,,9
07/13/2021,IA,,186,,0
01/28/2021,CO,379363,1575,4858,17
12/28/2020,WV,66631,726,,9
04/08/2020,IN,,436,203,31
12/28/2020,NM,,691,,36
05/30/2021,IA,,53,,0
02/17/2020,TN,,0,,0
12/26/2021,RMI,4,0,0,0
09/24/2020,RMI,0,0,0,0
04/15/2020,UT,,184,,1
05/10/2022,TN,1545709,896,19294,31
12/11/2021,MP,1774,260,5,0
06/23/2020,GU,,1,,0
03/06/2022,PA,2290578,0,,0
01/13/2021,NYC,450855,7251,21015,61
12/27/2021,UT,628310,4607,3619,16
06/19/2020,AK,,16,,0
07/05/2021,MS,197484,117,5174,3
07/20/2022,UT,997556,0,4617,0
08/05/2020,SD,,89,135,1
07/20/2021,PA,1023635,597,,10
05/19/2021,NY,,959,,12
03/08/2022,PR,267321,0,3444,0
06/13/2020,NY,,377,,21
08/13/2022,AK,,0,,0
08/19/2020,TX,,7024,,154
09/20/2022,MP,13166,0,40,0
11/23/2021,PR,153659,96,2783,2
07/21/2022,HI,,0,,0
06/14/2022,TX,,6862,,8
07/28/2022,HI,,0,,0
03/17/2020,WA,,118,,5
08/31/2022,IA,,387,,0
03/16/2021,AK,,105,,0
04/06/2021,TX,,5771,,48
03/09/2021,ND,95029,101,,3
04/25/2022,IN,,1154,22612,3
03/26/2021,MS,187743,256,4969,2
09/01/2020,AS,,0,,0
07/02/2022,PW,,0,,0
05/11/2022,PR,304668,4911,3529,6
02/01/2022,NY,,4480,,65
04/03/2022,CO,1292432,287,10517,0
05/18/2021,AR,,313,,9
04/19/2022,TN,1537383,414,19218,-1
09/21/2020,OK,80722,680,1252,11
04/10/2020,OK,,96,102,5
09/12/2020,SD,,320,181,6
06/16/2022,GU,,123,,0
01/16/2021,TN,576548,2750,6970,79
09/08/2020,AR,,477,,9
08/03/2020,PW,,0,,0
10/12/2022,OK,856725,1815,10497,40
03/18/2022,CO,1287835,444,10449,0
12/23/2021,PA,1583450,10548,,0
06/10/2021,TN,710131,215,10064,2
07/07/2022,NYC,2228426,4785,35268,12
05/11/2022,WA,,2618,,18
03/14/2020,NY,,44,,0
02/27/2022,WV,387487,0,,0
07/08/2021,WA,,527,,13
05/07/2020,OH,21132,555,1153,46
07/03/2020,MA,104228,212,7986,17
11/28/2021,SD,,0,1942,0
05/03/2022,IA,,735,,0
11/06/2020,RMI,1,0,0,0
10/19/2020,TN,216750,2617,2776,6
01/03/2022,AS,,0,,0
04/14/2020,AL,3927,171,170,12
10/15/2020,PR,29095,140,574,3
03/05/2020,IN,,0,0,0
01/03/2022,MA,1091147,33090,19860,42
07/22/2021,TN,721748,1446,10213,15
10/18/2022,FL,,1661,,0
02/28/2021,ND,94623,43,,0
08/11/2022,PR,393073,3309,3941,10
07/28/2022,SD,,0,2956,0
10/19/2020,OH,172997,1837,4767,8
11/11/2020,ND,59173,1800,,11
09/17/2022,MP,13155,0,40,0
10/25/2021,NYC,912965,931,29382,9
09/24/2022,PA,2667423,0,,0
03/25/2021,AL,401529,455,8725,20
04/06/2020,OH,,407,,23
07/31/2021,TX,,12732,,44
09/17/2021,KS,316011,1606,,64
01/22/2020,MP,0,0,0,0
01/07/2022,SD,,1944,2144,2
02/18/2021,ND,94150,119,,0
08/25/2021,FL,,21383,,377
03/07/2021,GU,,2,,0
03/28/2022,WV,394669,229,,4
08/12/2020,PW,,0,,0
10/14/2022,ND,199512,797,,4
07/19/2021,RMI,4,0,0,0
01/06/2022,TN,1159187,17440,15969,37
03/29/2022,AL,932674,253,15010,4
03/16/2022,ND,179752,56,,1
07/22/2022,GU,,0,,0
12/07/2020,WV,47242,1131,,3
08/19/2022,GU,,0,,0
10/10/2020,TX,,4230,,70
09/18/2020,NYC,235684,405,18839,6
05/03/2021,OK,354814,172,6181,4
03/30/2021,CO,438473,1136,5374,7
09/28/2020,AK,,114,,0
12/17/2020,PA,488847,9709,,224
04/13/2020,PR,486,21,18,3
01/24/2021,PW,,0,,0
02/03/2021,MP,133,0,2,0
05/06/2021,OH,906928,1387,19344,0
08/10/2021,TX,,17401,,84
05/06/2022,KS,584740,2232,,56
11/18/2021,RMI,4,0,0,0
08/01/2021,OK,381218,1404,6413,9
09/17/2021,AK,,870,,1
10/25/2020,PW,,0,,0
04/12/2020,PA,22986,1180,,13
02/09/2021,PA,765581,4443,,149
08/05/2022,AS,,0,,0
10/07/2022,WV,462578,288,,5
03/25/2020,AR,,76,,0
05/13/2021,KS,251551,183,,0
05/08/2020,PR,931,24,40,4
07/06/2021,NY,,128,,3
05/24/2022,AR,,441,,5
07/21/2022,AK,,0,,0
01/01/2021,HI,,232,,1
05/04/2021,SD,,229,1604,3
06/25/2021,WV,127965,60,,0
07/01/2021,SD,,25,1660,3
01/30/2022,HI,,2683,,7
04/14/2022,GU,,21,,0
07/28/2021,RMI,4,0,0,0
